1,N,5
2,S,5
3,W,1
4,D,7
5,N,6
6,S,5
7,S,8
8,N,7
9,W,10
10,W,11
11,W,12
12,W,13
13,W,14
14,W,16
15,U,14
16,E,14
17,E,15
18,N,15
19,N,32
23,D,25
24,U,67
25,U,23
27,W,41
28,D,36
29,N,19
30,U,62
33,W,35
34,U,15
35,E,33
36,W,39
37,D,38
38,U,37
39,D,64
41,W,60
42,W,80
43,E,45
44,N,82
45,D,87
46,W,45
47,E,45
48,U,44
49,W,51
50,S,52
51,S,53
52,D,86
53,S,54
54,W,53
55,E,57
56,U,55
57,E,84
58,E,57
60,D,62
61,N,62
62,S,61
63,S,62
64,E,106
65,D,106
66,E,96
67,D,24
68,N,65
69,N,109
70,S,111
71,N,110
72,SE,97
73,S,72
74,D,75
75,N,77
76,N,75
77,N,66
78,S,77
80,E,81
81,W,80
82,S,44
83,W,85
84,NW,114
85,E,83
86,U,52
87,D,45
88,W,92
91,D,72
92,N,94
93,S,92
94,S,92
95,W,91
96,W,66
97,N,98
98,W,99
99,E,100
100,NE,101
101,S,100
102,D,103
103,S,64
104,D,105
105,U,104
106,E,108
107,D,61
108,E,106
109,N,113
110,W,71
111,D,45
112,S,140
113,S,109
114,SE,84
115,SW,116
116,NE,115
117,SW,118
118,U,117
119,N,69
120,E,74
121,E,74
122,NE,123
123,E,124
124,D,128
125,E,127
126,S,125
127,W,125
128,D,129
129,E,130
130,W,129
131,E,112
132,SE,112
133,S,112
134,SW,112
135,U,112
136,N,112
137,W,112
138,NW,112
139,NE,112
140,N,112
